"name","store","total_profit","total_in_app_revenue","total_marketing_expense","rights_purchase_expense","lifespan_months","app_store_rating","play_store_rating","weighted_avg_rating","app_store_review_count","play_store_review_count","app_store_price","play_store_price","weighted_avg_price","app_store_content_rating","play_store_content_rating","app_store_primary_genre","play_store_category","play_store_genres"
"Bejeweled Classic","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.45,183259,203101,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Casual"
"Best Buy","both",431000.0,570000,114000,25000.0,114,4.0,4.4,4.28,80424,186116,0.0,0.0,0.0,"4+","Everyone","Shopping","SHOPPING","Shopping"
"BET NOW - Watch Shows","both",407000.0,540000,108000,25000.0,108,2.5,4.2,4.1,967,14807,0.0,0.0,0.0,"17+","Teen","Entertainment","ENTERTAINMENT","Entertainment"
"Bible","both",479000.0,630000,126000,25000.0,126,4.5,4.7,4.64,985920,2440695,0.0,0.0,0.0,"4+","Teen","Reference","BOOKS_AND_REFERENCE","Books & Reference"
"Bike Unchained","both",431000.0,570000,114000,25000.0,114,4.0,4.3,4.3,629,83545,0.0,0.0,0.0,"4+","Everyone","Games","SPORTS","Sports"
"Bloons TD 5","both",450100.0,600000,120000,29900.0,120,4.5,4.6,4.58,42078,190086,2.99,2.99,2.99,"9+","Everyone","Games","FAMILY","Strategy"
"Boom Beach","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,241929,5591653,0.0,0.0,0.0,"9+","Everyone 10+","Games","FAMILY","Strategy"
"Boomerang from Instagram","both",455000.0,600000,120000,25000.0,120,3.5,4.4,4.4,2373,928720,0.0,0.0,0.0,"4+","Everyone","Photo & Video","PHOTOGRAPHY","Photography"
"Bullet Force","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,9289,634159,0.0,0.0,0.0,"17+","Teen","Games","GAME","Action"
"Call of Duty®: Heroes","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.41,179416,1604146,0.0,0.0,0.0,"12+","Teen","Games","GAME","Action"
"Can Knockdown 3","both",407000.0,540000,108000,25000.0,108,4.5,4.1,4.1,1135,349503,1.99,0.0,0.01,"4+","Everyone","Games","GAME","Arcade"
"Candy Crush Jelly Saga","both",431000.0,570000,114000,25000.0,114,4.0,4.3,4.29,32395,1300619,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Puzzle"
"Candy Crush Saga","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.4,961794,22430188,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Casual"
"Candy Crush Soda Saga","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.4,133394,6199095,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Casual"
"Cartoon Wars 3","both",407000.0,540000,108000,25000.0,108,4.0,4.1,4.1,979,137674,0.0,0.0,0.0,"12+","Teen","Games","FAMILY","Role Playing"
"Chase Mobile","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,34322,1374549,0.0,0.0,0.0,"4+","Everyone","Finance","FINANCE","Finance"
"Chick-fil-A","both",431000.0,570000,114000,25000.0,114,3.5,4.3,4.17,5665,28009,0.0,0.0,0.0,"4+","Everyone","Food & Drink","FOOD_AND_DRINK","Food & Drink"
"Choices: Stories You Play","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,33698,807338,0.0,0.0,0.0,"12+","Teen","Games","GAME","Simulation"
"Citi Mobile®","both",383000.0,510000,102000,25000.0,102,3.5,4.0,3.81,48822,78306,0.0,0.0,0.0,"4+","Everyone","Finance","FINANCE","Finance"
"Clash of Clans","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,2130805,44893888,0.0,0.0,0.0,"9+","Everyone 10+","Games","GAME","Strategy"
"Clash Royale","both",455000.0,600000,120000,25000.0,120,4.5,4.6,4.6,266921,23136735,0.0,0.0,0.0,"9+","Everyone 10+","Games","GAME","Strategy"
"ClassDojo","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.42,35440,148550,0.0,0.0,0.0,"4+","Everyone","Education","EDUCATION","Education;Education"
"Cooking Fever","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,107797,3198176,0.0,0.0,0.0,"4+","Everyone","Games","GAME","Arcade"
"Crazy Freekick","both",407000.0,540000,108000,25000.0,108,4.5,3.9,3.9,228,47688,0.0,0.0,0.0,"4+","Everyone","Games","SPORTS","Sports"
"Cytus","both",479000.0,630000,126000,25000.0,126,5.0,4.7,4.7,7925,541732,1.99,0.0,0.03,"4+","Everyone","Games","GAME","Music"
"DB Navigator","both",407000.0,540000,108000,25000.0,108,3.5,4.0,4.0,512,119685,0.0,0.0,0.0,"4+","Everyone","Travel","MAPS_AND_NAVIGATION","Maps & Navigation"
"Deck Heroes: Legacy","both",479000.0,630000,126000,25000.0,126,4.0,4.7,4.7,494,466495,0.0,0.0,0.0,"17+","Teen","Games","GAME","Card"
"Design Home","both",455000.0,600000,120000,25000.0,120,4.5,4.4,4.4,23298,539931,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Simulation"
"diep.io","both",407000.0,540000,108000,25000.0,108,4.0,4.1,4.1,9397,347883,0.0,0.0,0.0,"9+","Everyone","Games","GAME","Action"
"DIRECTV","both",407000.0,540000,108000,25000.0,108,3.5,4.1,3.95,81006,235486,0.0,0.0,0.0,"4+","Teen","Entertainment","FAMILY","Entertainment"
"Discord - Chat for Gamers","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,9152,305347,0.0,0.0,0.0,"4+","Teen","Social Networking","COMMUNICATION","Communication"
"Disney Crossy Road","both",455000.0,600000,120000,25000.0,120,4.5,4.5,4.5,38571,514088,0.0,0.0,0.0,"4+","Everyone","Games","FAMILY","Arcade;Action & Adventure"
