"name","primary_genre","weighted_avg_price","rights_purchase_cost","rating","rating-2","weighted_avg_review","lifespan_months","total_in_app_revenue","total_marketing_expense","total_profit"
"Discord - Chat for Gamers","Social Networking",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Disney Crossy Road","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"DoorDash - Food Delivery","Food & Drink",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Dragon Hills","Games",0.03,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Dude Perfect","Games",0.98,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Dude Perfect 2","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Farming Simulator 14","Games",0.00,25000.00,4.0,4.5,4.50,120,270000,108000,137000.00
"FINAL FANTASY V","Games",8.70,87037.38,4.5,4.5,4.50,120,270000,108000,74962.62
"GroupMe","Social Networking",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Hay Day","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Hot Wheels: Race Off","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Hungry Shark Evolution","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Hungry Shark World","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Instagram","Photo & Video",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Microsoft Excel","Productivity",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Microsoft Word","Productivity",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"My Horse","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"My Talking Angela","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"My Talking Tom","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Nyan Cat: Lost In Space","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"OK K.O.! Lakewood Plaza Turbo","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"PicsArt Photo Studio: Collage Maker & Pic Editor","Photo & Video",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Real Basketball","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Real Racing 3","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"ROBLOX","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Rolling Sky","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"Seven - 7 Minute Workout Training Challenge","Health & Fitness",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
"SimCity BuildIt","Games",0.00,25000.00,4.5,4.5,4.50,120,270000,108000,137000.00
