"name","primary_genre","weighted_avg_price","rights_purchase_cost","rating","rating-2","weighted_avg_review","lifespan_months","total_in_app_revenue","total_marketing_expense","total_profit"
"YouNow: Live Stream Video Chat","Social Networking",0.00,25000.00,3.5,4.1,4.08,108,240000,96000,119000.00
"Epson iPrint","Photo & Video",0.00,25000.00,3.0,4.1,4.07,108,240000,96000,119000.00
"PBS KIDS Video","Education",0.00,25000.00,3.5,4.2,4.07,108,240000,96000,119000.00
"Pokémon GO","Games",0.00,25000.00,3.0,4.1,4.07,108,240000,96000,119000.00
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo","Sports",0.00,25000.00,3.5,4.2,4.07,108,240000,96000,119000.00
"Storm Shield","Weather",1.67,25000.00,4.5,3.5,4.06,108,240000,96000,119000.00
"WatchESPN","Sports",0.00,25000.00,4.0,4.1,4.06,108,240000,96000,119000.00
"LEGO Batman: DC Super Heroes","Games",4.99,49900.00,4.0,4.2,4.05,108,240000,96000,94100.00
"SHOWTIME","Entertainment",0.00,25000.00,2.5,4.2,4.05,108,240000,96000,119000.00
"NFL","Sports",0.00,25000.00,2.5,4.1,4.01,108,240000,96000,119000.00
"Battlefield™ Companion","Social Networking",0.00,25000.00,2.5,4.0,4.00,108,240000,96000,119000.00
"DB Navigator","Travel",0.00,25000.00,3.5,4.0,4.00,108,240000,96000,119000.00
"Does not Commute","Games",0.00,25000.00,4.0,4.0,4.00,108,240000,96000,119000.00
"Geocaching®","Navigation",0.00,25000.00,3.5,4.1,4.00,108,240000,96000,119000.00
"Hangouts","Social Networking",0.00,25000.00,4.0,4.0,4.00,108,240000,96000,119000.00
"RISK: Global Domination","Games",0.00,25000.00,4.0,4.0,4.00,108,240000,96000,119000.00
"Sky News","News",0.00,25000.00,3.0,4.0,4.00,108,240000,96000,119000.00
"Tinder","Lifestyle",0.00,25000.00,3.5,4.0,3.98,108,240000,96000,119000.00
"AnatomyMapp","Medical",13.87,138734.95,3.5,4.1,3.97,108,240000,96000,5265.05
"Snapchat","Photo & Video",0.00,25000.00,2.5,4.0,3.97,108,240000,96000,119000.00
"Timehop","Social Networking",0.00,25000.00,3.5,4.1,3.96,108,240000,96000,119000.00
"DIRECTV","Entertainment",0.00,25000.00,3.5,4.1,3.95,108,240000,96000,119000.00
"Don't Starve: Shipwrecked","Games",4.99,49900.00,3.5,4.1,3.95,108,240000,96000,94100.00
"Fitbit","Health & Fitness",0.00,25000.00,4.0,3.9,3.92,108,240000,96000,119000.00
"NHL","Sports",0.00,25000.00,3.5,4.0,3.91,108,240000,96000,119000.00
"T-Mobile Tuesdays","Lifestyle",0.00,25000.00,2.5,4.0,3.91,108,240000,96000,119000.00
"Crazy Freekick","Games",0.00,25000.00,4.5,3.9,3.90,108,240000,96000,119000.00
"Mobile Strike","Games",0.00,25000.00,3.5,3.9,3.89,108,240000,96000,119000.00
"NBC News","News",0.00,25000.00,3.5,4.1,3.89,108,240000,96000,119000.00
"Allrecipes Dinner Spinner","Food & Drink",0.00,25000.00,3.5,4.5,3.86,102,225000,90000,110000.00
"Puffin Browser Pro","Utilities",3.99,39900.00,3.5,4.0,3.85,102,225000,90000,95100.00
"Citi Mobile®","Finance",0.00,25000.00,3.5,4.0,3.81,102,225000,90000,110000.00
"USA TODAY","News",0.00,25000.00,3.5,4.1,3.77,102,225000,90000,110000.00
"Assassin's Creed Identity","Games",2.22,25000.00,4.0,3.7,3.72,102,225000,90000,110000.00
"Redbox","Entertainment",0.00,25000.00,3.0,4.1,3.72,102,225000,90000,110000.00
"Google Play Movies & TV","Entertainment",0.00,25000.00,3.0,3.7,3.70,102,225000,90000,110000.00
"H&M","Shopping",0.00,25000.00,3.0,3.7,3.69,102,225000,90000,110000.00
"PAC-MAN","Games",0.00,25000.00,3.0,4.2,3.69,102,225000,90000,110000.00
"I am Bread","Games",4.99,49900.00,3.5,4.0,3.66,102,225000,90000,85100.00
"NCAA Sports","Sports",0.00,25000.00,2.0,3.9,3.65,102,225000,90000,110000.00
"Super Mario Run","Games",0.00,25000.00,2.5,3.7,3.62,96,210000,84000,101000.00
"MTV","Entertainment",0.00,25000.00,2.5,3.8,3.61,96,210000,84000,101000.00
"McDonald's","Food & Drink",0.00,25000.00,2.0,3.6,3.56,96,210000,84000,101000.00
"Fly Delta","Travel",0.00,25000.00,3.0,3.7,3.54,96,210000,84000,101000.00
"Peppa Pig: Party Time","Education",2.69,26949.18,2.0,3.8,3.53,96,210000,84000,99050.82
"SNCF","Travel",0.00,25000.00,1.5,3.4,3.40,96,210000,84000,101000.00
"Southwest Airlines","Travel",0.00,25000.00,3.0,3.9,3.40,96,210000,84000,101000.00
"United Airlines","Travel",0.00,25000.00,2.5,3.5,3.34,90,195000,78000,92000.00
"myAT&T","Utilities",0.00,25000.00,3.0,3.7,3.30,90,195000,78000,92000.00
"myChevrolet","Lifestyle",0.00,25000.00,2.0,3.5,3.29,90,195000,78000,92000.00
"Messenger","Social Networking",0.00,25000.00,3.0,4.1,3.18,90,195000,78000,92000.00
"AirWatch Agent","Business",0.00,25000.00,2.5,3.1,3.07,84,180000,72000,83000.00
"Mad Libs","Entertainment",0.00,25000.00,3.0,4.0,3.06,84,180000,72000,83000.00
"AMC","Entertainment",0.00,25000.00,2.0,3.2,3.04,84,180000,72000,83000.00
"My College Bookstore","Shopping",0.00,25000.00,2.5,3.2,3.02,84,180000,72000,83000.00
"NBC Sports","Sports",0.00,25000.00,2.5,3.1,2.87,78,165000,66000,74000.00
"Philips Hue","Lifestyle",0.00,25000.00,1.5,3.1,2.83,78,165000,66000,74000.00
